2023-05-05T09:42:55.353569+03:00 <0.65.0>  supervisor: {local,kernel_safe_sup}, started: [{pid,<0.4247.0>},{id,disk_log_server},{mfargs,{disk_log_server,start_link,[]}},{restart_type,permanent},{shutdown,2000},{child_type,worker}]
2023-05-05T09:42:55.507734+03:00 <0.4235.0>  supervisor: {local,mnesia_kernel_sup}, started: [{pid,<0.4240.0>},{id,mnesia_tm},{mfargs,{mnesia_tm,start,[]}},{restart_type,permanent},{shutdown,30000},{child_type,worker}]
2023-05-05T09:42:55.509754+03:00 <0.4235.0>  supervisor: {local,mnesia_kernel_sup}, started: [{pid,<0.4264.0>},{id,mnesia_checkpoint_sup},{mfargs,{mnesia_checkpoint_sup,start,[]}},{restart_type,permanent},{shutdown,infinity},{child_type,supervisor}]
2023-05-05T09:42:55.509946+03:00 <0.4235.0>  supervisor: {local,mnesia_kernel_sup}, started: [{pid,<0.4265.0>},{id,mnesia_controller},{mfargs,{mnesia_controller,start,[]}},{restart_type,permanent},{shutdown,3000},{child_type,worker}]
2023-05-05T09:42:55.511703+03:00 <0.4235.0>  supervisor: {local,mnesia_kernel_sup}, started: [{pid,<0.4266.0>},{id,mnesia_late_loader},{mfargs,{mnesia_late_loader,start,[]}},{restart_type,permanent},{shutdown,3000},{child_type,worker}]
2023-05-05T09:42:55.511860+03:00 <0.4232.0>  supervisor: {local,mnesia_sup}, started: [{pid,<0.4235.0>},{id,mnesia_kernel_sup},{mfargs,{mnesia_kernel_sup,start,[]}},{restart_type,permanent},{shutdown,infinity},{child_type,supervisor}]
2023-05-05T09:42:55.512031+03:00 <0.43.0>  application: mnesia, started_at: nonode@nohost
2023-05-05T09:42:55.523707+03:00 <0.43.0>  application: bpe, started_at: nonode@nohost
2023-05-05T09:44:20.587540+03:00 <0.256.0>  supervisor: {local,mnesia_sup}, started: [{pid,<0.257.0>},{id,mnesia_event},{mfargs,{mnesia_sup,start_event,[]}},{restart_type,permanent},{shutdown,30000},{child_type,worker}]
2023-05-05T09:44:20.592421+03:00 <0.256.0>  supervisor: {local,mnesia_sup}, started: [{pid,<0.258.0>},{id,mnesia_ext_sup},{mfargs,{mnesia_ext_sup,start,[]}},{restart_type,permanent},{shutdown,infinity},{child_type,supervisor}]
2023-05-05T09:44:20.598005+03:00 <0.259.0>  supervisor: {local,mnesia_kernel_sup}, started: [{pid,<0.260.0>},{id,mnesia_monitor},{mfargs,{mnesia_monitor,start,[]}},{restart_type,permanent},{shutdown,3000},{child_type,worker}]
2023-05-05T09:44:20.600297+03:00 <0.259.0>  supervisor: {local,mnesia_kernel_sup}, started: [{pid,<0.261.0>},{id,mnesia_subscr},{mfargs,{mnesia_subscr,start,[]}},{restart_type,permanent},{shutdown,3000},{child_type,worker}]
2023-05-05T09:44:20.604520+03:00 <0.259.0>  supervisor: {local,mnesia_kernel_sup}, started: [{pid,<0.262.0>},{id,mnesia_locker},{mfargs,{mnesia_locker,start,[]}},{restart_type,permanent},{shutdown,3000},{child_type,worker}]
2023-05-05T09:44:20.607171+03:00 <0.259.0>  supervisor: {local,mnesia_kernel_sup}, started: [{pid,<0.263.0>},{id,mnesia_recover},{mfargs,{mnesia_recover,start,[]}},{restart_type,permanent},{shutdown,180000},{child_type,worker}]
